"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PCID2",0.701382637222254,-0.0185648878837998,0.75,0.542,1,"PCID2"
"nw",0.701401190392401,-0.00758144406097028,0.167,0.083,1,"nw"
"EloA",0.701529784468194,0.105115578146825,1,1,1,"EloA"
"dop",0.701536751984365,0.0946309113571274,1,1,1,"dop"
"CG9519",0.701692655883501,-0.0257880987268342,0.083,0.125,1,"CG9519"
"CG6163",0.701706016917692,0.0754236345726613,0.958,0.875,1,"CG6163"
"Sc2",0.701933849428611,0.0821762417953291,0.958,0.833,1,"Sc2"
"uri",0.702004366956108,-0.0214790717687725,1,0.917,1,"uri"
"Chrac-14",0.702033899207696,-0.0158202618537437,0.625,0.375,1,"Chrac-14"
"CG9626",0.702071973188875,-0.0169582618103625,0.375,0.333,1,"CG9626"
"ppk",0.702116244664267,0.000133155652344286,0.167,0.167,1,"ppk"
"roo{}28",0.702173502871386,-0.0137756417503079,0.667,0.583,1,"roo{}28"
"lncRNA:CR43838",0.702201412348536,-0.0122369976511782,0.917,0.833,1,"lncRNA:CR43838"
"Taf11",0.70221407769898,-0.00730873318931069,0.958,0.875,1,"Taf11"
"AlaRS",0.702350271861621,0.0717581576570336,1,1,1,"AlaRS"
"Doc3-element{}622",0.70241610017014,-0.000559041520783232,0.208,0.125,1,"Doc3-element{}622"
"Or1a",0.702455825706878,-0.0205585534721946,0.375,0.375,1,"Or1a"
"lncRNA:CR44772",0.702501168204685,-0.0170736941671796,0.125,0.125,1,"lncRNA:CR44772"
"Ivk{}509",0.702728329729528,-0.0477832974533152,0.042,0.125,1,"Ivk{}509"
"wnd",0.702772437753849,0.0858686112517022,1,1,1,"wnd"
"297{}2367",0.703067864487687,0.162627341371874,0.125,0,1,"297{}2367"
"Pgm2b",0.703291748197981,7.22134927180207e-05,0.167,0.125,1,"Pgm2b"
"roo{}1055",0.703347205742764,0.0597157428618376,0.958,0.917,1,"roo{}1055"
"CG42837",0.70340984857474,0.0329325747040889,1,1,1,"CG42837"
"HINT1",0.703491546979589,-0.00749588232529419,0.833,0.667,1,"HINT1"
"CG15394",0.703583297372866,-0.0445763846100027,0.042,0.125,1,"CG15394"
"ChAT",0.703776808782804,0.0520646267286675,1,1,1,"ChAT"
"SdhB",0.703844840503433,0.00813975439997172,1,1,1,"SdhB"
"CG13127",0.703929267634077,-0.0579136711627806,0,0.125,1,"CG13127"
"CG33307",0.704060212914883,-0.0293938912803071,0.625,0.583,1,"CG33307"
"CG43191",0.704110087202991,-0.00936518642395967,0.167,0.083,1,"CG43191"
"l(3)mbt",0.704164407762731,0.0262963768539639,1,1,1,"l(3)mbt"
"Gapdh2",0.704413896814584,0.0973315778155501,1,1,1,"Gapdh2"
"INE-1{}5940",0.704718524063798,-0.00257471885824678,0.25,0.167,1,"INE-1{}5940"
"eIF4E6",0.704909549411663,0.00386175242511566,0.292,0.167,1,"eIF4E6"
"CG5321",0.705025903946024,0.0440461431260397,0.625,0.417,1,"CG5321"
"diver2{}4400",0.705042411341199,0.055647841864368,0.792,0.5,1,"diver2{}4400"
"CG12923",0.705050135915197,0.000974488666622086,0.208,0.208,1,"CG12923"
"CG4332",0.705135999726141,-0.00090060834704575,1,0.917,1,"CG4332"
"Dph4",0.705176629124218,0.0974178382969351,1,1,1,"Dph4"
"TORIP",0.705234031561048,0.0684935740712564,0.917,1,1,"TORIP"
"INE-1{}3217",0.705270814357164,-0.00516502132184282,0.167,0.25,1,"INE-1{}3217"
"412{}882",0.705693404384059,0.0818313895603628,0.292,0.125,1,"412{}882"
"CG10562",0.705834974834472,0.047524431378517,0.708,0.375,1,"CG10562"
"CG5326",0.705835725494167,-0.0317584467095777,0.208,0.375,1,"CG5326"
"INE-1{}5338",0.706260030744403,-0.0191981695960459,0.417,0.333,1,"INE-1{}5338"
"CG4849",0.706329951756132,0.0786420283404552,1,1,1,"CG4849"
"CG13339",0.706380746956043,-0.0156862274169582,0.958,0.917,1,"CG13339"
"CG7724",0.706475668238821,-0.0241164384957084,0.458,0.25,1,"CG7724"
"lncRNA:CR44870",0.706661704671503,-0.0254238958832715,0.083,0.125,1,"lncRNA:CR44870"
"roo{}5613",0.706721477516019,0.080018055294742,0.333,0.125,1,"roo{}5613"
"CG11912",0.706795203327919,-0.0242749173403807,0.167,0.125,1,"CG11912"
"CG30391",0.706840936819666,-0.0200192892886362,0.125,0.125,1,"CG30391"
"CG31974",0.706925224924563,0.00394001957537693,1,1,1,"CG31974"
"BORCS5",0.706948791863593,-0.00674516294293648,1,0.833,1,"BORCS5"
"Sid",0.706985896785929,-0.0449710445600227,0.042,0.125,1,"Sid"
"CG31810",0.707046790216656,-0.0571834400815447,0,0.125,1,"CG31810"
